json_file,image_id,im_name,category_id,bbox_x,bbox_y,bbox_w,bbox_h,occlusion,ignore
KAIST_val_set05_annotation.json,68,set05_V000_I00275.jpg,0,598,220,26,69,0,0
KAIST_val_set05_annotation.json,69,set05_V000_I00279.jpg,0,568,219,28,69,0,0
KAIST_val_set05_annotation.json,69,set05_V000_I00279.jpg,0,600,215,28,60,0,0
KAIST_val_set05_annotation.json,70,set05_V000_I00283.jpg,0,539,218,29,70,0,0
KAIST_val_set05_annotation.json,70,set05_V000_I00283.jpg,0,574,215,28,61,0,0
KAIST_val_set05_annotation.json,71,set05_V000_I00287.jpg,0,512,217,30,70,0,0
KAIST_val_set05_annotation.json,71,set05_V000_I00287.jpg,0,549,215,29,61,0,0
KAIST_val_set05_annotation.json,72,set05_V000_I00291.jpg,0,486,216,31,70,0,0
KAIST_val_set05_annotation.json,72,set05_V000_I00291.jpg,0,524,215,29,61,0,0
KAIST_val_set05_annotation.json,73,set05_V000_I00295.jpg,0,462,216,32,71,0,0
KAIST_val_set05_annotation.json,73,set05_V000_I00295.jpg,0,500,215,29,62,0,0
KAIST_val_set05_annotation.json,74,set05_V000_I00299.jpg,0,440,215,32,71,0,0
KAIST_val_set05_annotation.json,74,set05_V000_I00299.jpg,0,480,215,30,62,0,0
KAIST_val_set05_annotation.json,75,set05_V000_I00303.jpg,0,419,215,32,71,0,0
KAIST_val_set05_annotation.json,75,set05_V000_I00303.jpg,0,460,215,30,62,0,0
KAIST_val_set05_annotation.json,76,set05_V000_I00307.jpg,0,399,214,32,72,0,0
KAIST_val_set05_annotation.json,76,set05_V000_I00307.jpg,0,439,214,32,64,0,0
KAIST_val_set05_annotation.json,77,set05_V000_I00311.jpg,0,381,214,31,72,0,0
KAIST_val_set05_annotation.json,77,set05_V000_I00311.jpg,0,420,213,33,66,0,0
KAIST_val_set05_annotation.json,78,set05_V000_I00315.jpg,0,365,213,31,72,0,0
KAIST_val_set05_annotation.json,78,set05_V000_I00315.jpg,0,404,213,33,65,0,0
KAIST_val_set05_annotation.json,79,set05_V000_I00319.jpg,0,353,213,30,73,0,0
KAIST_val_set05_annotation.json,79,set05_V000_I00319.jpg,0,390,214,33,65,0,0
KAIST_val_set05_annotation.json,80,set05_V000_I00323.jpg,0,343,213,30,73,0,0
KAIST_val_set05_annotation.json,80,set05_V000_I00323.jpg,0,379,215,31,64,0,0
KAIST_val_set05_annotation.json,81,set05_V000_I00327.jpg,0,334,213,30,74,0,0
