file,class,x_center,y_center,width,height,occluded
set04_V000_I01607,0,0.9640625,0.447265625,0.034375,0.103515625,0
set04_V000_I01607,2,0.010937500000000001,0.40625,0.284375,0.10546875,0
set04_V000_I01607,2,0.6171875,0.40234375,0.059375000000000004,0.103515625,0
set00_V007_I01015,0,0.859375,0.435546875,0.1046875,0.31640625,0
set00_V007_I01015,0,0.1953125,0.40625,0.1296875,0.25,0
set00_V007_I01015,0,0.8984375,0.44140625,0.09062500000000001,0.271484375,2
set01_V003_I00775,0,0.93125,0.447265625,0.0671875,0.25,0
set01_V003_I00775,1,0.9171875,0.451171875,0.0703125,0.236328125,1
set01_V003_I00775,0,0.553125,0.46484375,0.09843750000000001,0.251953125,0
set01_V003_I00775,0,0.41250000000000003,0.4453125,0.0765625,0.22265625,0
set01_V003_I00775,0,0.4703125,0.4296875,0.0703125,0.220703125,1
set00_V003_I00555,0,0.4859375,0.423828125,0.03125,0.060546875,0
set00_V003_I00555,2,0.42500000000000004,0.4140625,0.0328125,0.068359375,0
set00_V003_I00555,2,0.525,0.416015625,0.040625,0.07421875,0
set00_V003_I00555,2,0.0625,0.3984375,0.1171875,0.109375,0
set00_V003_I00555,2,0.7578125,0.427734375,0.065625,0.078125,0
set00_V006_I00335,0,0.80625,0.46484375,0.1015625,0.3046875,0
set00_V004_I01787,0,0.6171875,0.470703125,0.03125,0.08984375,0
set04_V001_I01187,0,0.515625,0.408203125,0.0625,0.15625,0
set04_V001_I01187,0,0.3609375,0.40234375,0.051562500000000004,0.169921875,0
set04_V001_I01187,0,0.5703125,0.40234375,0.0578125,0.1640625,0
set04_V001_I01187,0,0.24375000000000002,0.396484375,0.059375000000000004,0.18359375,0
set04_V001_I01187,0,0.6578125,0.38671875,0.059375000000000004,0.1796875,0
set04_V001_I01187,0,0.7671875,0.392578125,0.0484375,0.142578125,0
set04_V001_I01187,0,0.6359375,0.408203125,0.05,0.13671875,1
set03_V000_I00203,0,0.2828125,0.41015625,0.06406250000000001,0.248046875,0
set03_V000_I00203,0,0.35468750000000004,0.447265625,0.051562500000000004,0.2109375,0
set03_V000_I00203,0,0.4078125,0.421875,0.05625,0.224609375,0
set03_V000_I00203,0,0.496875,0.439453125,0.037500000000000006,0.099609375,0
set02_V000_I00507,0,0.5875,0.4453125,0.08750000000000001,0.271484375,2
set00_V001_I02383,3,0.037500000000000006,0.4296875,0.10312500000000001,0.140625,0
set00_V001_I00511,0,0.2671875,0.40234375,0.040625,0.125,0
